MaxReturn,LossAfter,dLoss,NumTrajs,Iteration,AverageDiscountedReturn,MinReturn,StdReturn,LossBefore,Entropy,Perplexity,MeanKL,ExplainedVariance,AverageReturn
93.7098990725,7.59345476558e-17,0.0,34,0,-1.26812659383,-15.7621086454,45.2836393535,7.59345476558e-17,-9.99999988923e-09,0.99999999,0.0,1.09669717752e-10,9.68456043985
86.1797071066,-6.24053377539e-18,0.0,31,1,-1.30506366874,-23.9869944987,42.9293023915,-6.24053377539e-18,-9.99999988923e-09,0.99999999,0.0,-0.832443979699,6.28829650836
86.6831740724,-1.95187921051e-17,0.0,31,2,-1.30684956505,-15.5533804225,47.3440156795,-1.95187921051e-17,-9.99999988923e-09,0.99999999,0.0,0.258523026098,17.2075529707
94.053819837,-9.93693343474e-17,0.0,33,3,-1.25345340435,-15.653518905,49.2228870991,-9.93693343474e-17,-9.99999988923e-09,0.99999999,0.0,0.025429595283,19.3486114989
93.6692492265,-1.20881043288e-16,0.0,32,4,-1.28990943411,-15.653518905,41.1125566327,-1.20881043288e-16,-9.99999988923e-09,0.99999999,0.0,-0.302431631079,4.26878629926
93.6692492265,-2.55166339614e-17,0.0,32,5,-1.28796108124,-24.6790536708,26.8818062783,-2.55166339614e-17,-9.99999988923e-09,0.99999999,0.0,-12.4435994259,-9.77483596174
92.5547471507,-1.80660170431e-17,0.0,33,6,-1.29619309343,-15.5951846261,48.1904553321,-1.80660170431e-17,-9.99999988923e-09,0.99999999,0.0,0.0519383137762,16.3256522779
92.803067799,-6.50141820568e-17,0.0,33,7,-1.29459475196,-25.3844680839,46.1194243738,-6.50141820568e-17,-9.99999988923e-09,0.99999999,0.0,-0.593126227959,8.9964906705
93.0996031945,2.96643033299e-17,0.0,40,8,-1.28189846684,-15.7307561892,50.360631666,2.96643033299e-17,-9.99999988923e-09,0.99999999,0.0,0.227829186883,53.0651877181
91.5203008995,-1.33477918206e-16,0.0,34,9,-1.30058898534,-25.2559473107,48.6337694713,-1.33477918206e-16,-9.99999988923e-09,0.99999999,0.0,-4.02559944335,15.5336828356
89.8328693449,-2.17400147234e-17,0.0,32,10,-1.3054200307,-25.2559473107,41.4220317049,-2.17400147234e-17,-9.99999988923e-09,0.99999999,0.0,-0.0846244520944,3.28954084814
