MaxReturn,LossAfter,dLoss,NumTrajs,Iteration,AverageDiscountedReturn,MinReturn,StdReturn,LossBefore,Entropy,Perplexity,MeanKL,ExplainedVariance,AverageReturn
-1836.00644203,-0.0074642793173,0.0074642793173,14,0,-2505.69146976,-4449.81735886,1071.78785925,6.57726780736e-17,2.59472192111,13.3928625712,0.000685414716283,1.0325074129e-14,-3033.66107197
-1819.36762575,-0.00846686833772,0.00846686833772,14,1,-2612.84845038,-4719.44389105,1119.50440055,-6.66298536292e-17,2.59654685473,13.4173259716,0.000739341726777,0.746592557901,-3180.7027561
-1953.25199507,-0.00891845388575,0.00891845388575,14,2,-2459.17653769,-4267.07011451,868.312522522,6.44697231879e-17,2.60649459395,13.5514641108,0.000977144364946,0.691523502179,-2955.85219305
-1833.34665903,-0.00722305041387,0.00722305041387,14,3,-2231.18506463,-4257.69345363,878.071917578,-1.10270458428e-16,2.61485740638,13.665267659,0.000669083745777,0.747685966616,-2638.37828156
-2003.79849354,-0.00860682557342,0.00860682557342,14,4,-2311.51584625,-4524.12324775,803.177220236,7.02254360529e-17,2.60348838464,13.5107867462,0.000954609793288,0.800419752728,-2742.28346247
-1904.91413953,-0.00837244340444,0.00837244340444,14,5,-2236.58837217,-4142.28474824,726.661199395,1.35143219367e-16,2.60029960057,13.467772383,0.000829410635918,0.797493386814,-2641.68071165
-1764.76718778,-0.00711900012028,0.00711900012028,14,6,-1980.6849795,-3274.19503421,403.145749246,4.74727661781e-17,2.6108734595,13.6109342611,0.000699670867563,0.809228800118,-2284.32291385
-1821.84754838,-0.00801789913082,0.00801789913082,13,7,-2037.33676936,-3115.46293198,371.223976727,2.44428133647e-17,2.60649151868,13.5514224365,0.000673447983234,0.921869856238,-2354.23908696
-1811.6525869,-0.00887030666313,0.00887030666313,14,8,-2086.35670795,-3980.54627797,596.6729251,1.32090281884e-16,2.60167623241,13.4863253145,0.000941315957996,0.830329770144,-2423.01121449
-1686.68662419,-0.00837754976022,0.00837754976022,14,9,-1887.18330467,-2985.83863773,341.692884611,8.67821605773e-17,2.61414093494,13.6554803915,0.000677884684441,0.885079807068,-2162.53471231
-1776.75704089,-0.00753287618538,0.00753287618538,14,10,-1864.90982155,-2910.87033866,313.88987217,8.25407178634e-17,2.61686952534,13.6927914845,0.00065567961138,0.929254092127,-2128.28503382
-1740.95187384,-0.00848603950619,0.00848603950619,14,11,-1884.98541888,-3680.81949105,503.18812623,-1.00681565795e-16,2.60814504577,13.5738486167,0.000646895229499,0.822583091285,-2163.89394955
-1777.25168868,-0.00979086068433,0.00979086068433,14,12,-1902.61393441,-2518.41229937,217.886829008,4.19399419464e-17,2.61418252837,13.6560483817,0.000660815988019,0.910051794666,-2180.97360028
-1643.25005807,-0.0102466262564,0.0102466262564,14,13,-1792.91715887,-2361.24242779,230.332884303,-1.89973375784e-16,2.61845159022,13.714471514,0.000714723893755,0.956697079336,-2036.92472666
-1824.40316642,-0.0090718688913,0.0090718688913,14,14,-1880.79668039,-2487.21353313,175.692846066,-7.59974094237e-17,2.62234545889,13.767977971,0.000974074172343,0.969356174467,-2149.53840782
-1649.32126851,-0.00816667757166,0.00816667757166,14,15,-1822.28171788,-2533.92099624,212.702812286,7.19150318349e-17,2.62022802532,13.738856035,0.000956840586209,0.956447999049,-2076.46784195
-1814.69097667,-0.00930655655656,0.00930655655656,14,16,-1813.79408126,-2390.85705046,185.537165552,3.6528282303e-17,2.62333144944,13.7815597618,0.000935519528119,0.970768906984,-2058.5281864
-1509.39874974,-0.00962311868517,0.00962311868517,15,17,-1679.54226778,-2345.47843228,229.865407215,2.23733157054e-17,2.62970121348,13.8696252259,0.000688992496571,0.93652285546,-1885.85803134
-1721.71820957,-0.00697884254456,0.00697884254456,14,18,-1827.13590404,-2417.70883849,191.120517548,8.55640280641e-17,2.62490451344,13.8032560977,0.000692065322187,0.953689141937,-2079.92331495
-1630.43159008,-0.00673195817032,0.00673195817032,15,19,-1724.96730536,-2108.14334315,118.867526388,2.29529254529e-17,2.6243228915,13.7952301554,0.000656917781611,0.974336866378,-1941.65692016
