     0: >>> E[0:00:00]-R[?]: Return=      35.5, Steps=104.787, Features = 0
    20: >>> E[0:00:00]-R[0:00:02]: Return=     31.92, Steps=106.842, Features = 0
    40: >>> E[0:00:00]-R[0:00:03]: Return=     34.23, Steps=105.768, Features = 0
    60: >>> E[0:00:00]-R[0:00:03]: Return=     30.88, Steps=106.533, Features = 0
    80: >>> E[0:00:00]-R[0:00:03]: Return=     31.74, Steps=106.605, Features = 0
   100: >>> E[0:00:00]-R[0:00:03]: Return=     31.25, Steps=106.189, Features = 0
   120: >>> E[0:00:00]-R[0:00:02]: Return=     27.96, Steps=107.357, Features = 0
   140: >>> E[0:00:00]-R[0:00:02]: Return=     32.37, Steps=106.352, Features = 0
   160: >>> E[0:00:00]-R[0:00:02]: Return=     31.55, Steps=106.064, Features = 0
   180: >>> E[0:00:00]-R[0:00:02]: Return=     34.79, Steps=104.589, Features = 0
   200: >>> E[0:00:00]-R[0:00:02]: Return=     31.51, Steps=105.738, Features = 0
   220: >>> E[0:00:00]-R[0:00:02]: Return=     35.73, Steps=103.622, Features = 0
   240: >>> E[0:00:00]-R[0:00:02]: Return=     32.98, Steps=105.575, Features = 0
   260: >>> E[0:00:00]-R[0:00:02]: Return=     32.92, Steps=104.75, Features = 0
   280: >>> E[0:00:00]-R[0:00:02]: Return=     34.23, Steps=104.339, Features = 0
   300: >>> E[0:00:00]-R[0:00:02]: Return=     31.49, Steps=106.073, Features = 0
   320: >>> E[0:00:00]-R[0:00:02]: Return=      28.9, Steps=108.382, Features = 0
   340: >>> E[0:00:00]-R[0:00:02]: Return=     29.22, Steps=107.267, Features = 0
   360: >>> E[0:00:00]-R[0:00:02]: Return=     32.07, Steps=104.75, Features = 0
   380: >>> E[0:00:00]-R[0:00:02]: Return=     30.88, Steps=106.457, Features = 0
   400: >>> E[0:00:01]-R[0:00:02]: Return=     32.08, Steps=107.64, Features = 0
   420: >>> E[0:00:01]-R[0:00:02]: Return=     32.25, Steps=106.511, Features = 0
   440: >>> E[0:00:01]-R[0:00:02]: Return=     31.67, Steps=106.803, Features = 0
   460: >>> E[0:00:01]-R[0:00:02]: Return=     27.99, Steps=108.841, Features = 0
   480: >>> E[0:00:01]-R[0:00:02]: Return=     32.86, Steps=106.039, Features = 0
   500: >>> E[0:00:01]-R[0:00:02]: Return=     31.87, Steps=105.71, Features = 0
   520: >>> E[0:00:01]-R[0:00:02]: Return=     32.66, Steps=104.73, Features = 0
   540: >>> E[0:00:01]-R[0:00:02]: Return=     33.18, Steps=105.134, Features = 0
   560: >>> E[0:00:01]-R[0:00:02]: Return=     30.12, Steps=107.312, Features = 0
   580: >>> E[0:00:01]-R[0:00:02]: Return=     30.95, Steps=106.689, Features = 0
   600: >>> E[0:00:01]-R[0:00:02]: Return=     32.08, Steps=105.37, Features = 0
   620: >>> E[0:00:01]-R[0:00:02]: Return=     29.08, Steps=107.396, Features = 0
   640: >>> E[0:00:01]-R[0:00:02]: Return=     32.04, Steps=107.07, Features = 0
   660: >>> E[0:00:01]-R[0:00:02]: Return=     35.07, Steps=103.528, Features = 0
   680: >>> E[0:00:01]-R[0:00:02]: Return=     33.38, Steps=106.418, Features = 0
   700: >>> E[0:00:01]-R[0:00:02]: Return=     31.21, Steps=105.35, Features = 0
   720: >>> E[0:00:01]-R[0:00:02]: Return=     36.21, Steps=103.398, Features = 0
   740: >>> E[0:00:01]-R[0:00:02]: Return=     35.24, Steps=105.038, Features = 0
   760: >>> E[0:00:01]-R[0:00:02]: Return=     32.09, Steps=107.508, Features = 0
   780: >>> E[0:00:01]-R[0:00:02]: Return=     30.85, Steps=107.148, Features = 0
   800: >>> E[0:00:01]-R[0:00:02]: Return=     29.71, Steps=106.504, Features = 0
   820: >>> E[0:00:01]-R[0:00:01]: Return=     32.35, Steps=105.333, Features = 0
   840: >>> E[0:00:01]-R[0:00:01]: Return=     31.05, Steps=106.792, Features = 0
   860: >>> E[0:00:01]-R[0:00:01]: Return=      30.1, Steps=107.211, Features = 0
   880: >>> E[0:00:01]-R[0:00:01]: Return=     33.15, Steps=105.564, Features = 0
   900: >>> E[0:00:01]-R[0:00:01]: Return=     31.89, Steps=105.752, Features = 0
   920: >>> E[0:00:01]-R[0:00:01]: Return=     31.35, Steps=105.381, Features = 0
   940: >>> E[0:00:01]-R[0:00:01]: Return=     32.71, Steps=106.163, Features = 0
   960: >>> E[0:00:01]-R[0:00:01]: Return=     32.73, Steps=105.812, Features = 0
   980: >>> E[0:00:01]-R[0:00:01]: Return=     32.78, Steps=104.682, Features = 0
  1000: >>> E[0:00:01]-R[0:00:01]: Return=     33.01, Steps=105.385, Features = 0
  1020: >>> E[0:00:01]-R[0:00:01]: Return=     31.39, Steps=107.759, Features = 0
  1040: >>> E[0:00:01]-R[0:00:01]: Return=     33.17, Steps=104.71, Features = 0
  1060: >>> E[0:00:01]-R[0:00:01]: Return=     30.75, Steps=105.833, Features = 0
  1080: >>> E[0:00:01]-R[0:00:01]: Return=     35.91, Steps=103.237, Features = 0
  1100: >>> E[0:00:01]-R[0:00:01]: Return=      29.7, Steps=107.916, Features = 0
  1120: >>> E[0:00:01]-R[0:00:01]: Return=     33.92, Steps=103.947, Features = 0
  1140: >>> E[0:00:01]-R[0:00:01]: Return=     31.74, Steps=105.765, Features = 0
  1160: >>> E[0:00:01]-R[0:00:01]: Return=     32.66, Steps=105.674, Features = 0
  1180: >>> E[0:00:02]-R[0:00:01]: Return=     36.86, Steps=103.37, Features = 0
  1200: >>> E[0:00:02]-R[0:00:01]: Return=     31.08, Steps=106.316, Features = 0
  1220: >>> E[0:00:02]-R[0:00:01]: Return=     30.32, Steps=107.392, Features = 0
  1240: >>> E[0:00:02]-R[0:00:01]: Return=     29.12, Steps=107.48, Features = 0
  1260: >>> E[0:00:02]-R[0:00:01]: Return=     32.45, Steps=106.545, Features = 0
  1280: >>> E[0:00:02]-R[0:00:01]: Return=     28.93, Steps=107.822, Features = 0
  1300: >>> E[0:00:02]-R[0:00:01]: Return=     32.55, Steps=106.561, Features = 0
  1320: >>> E[0:00:02]-R[0:00:01]: Return=     30.47, Steps=107.422, Features = 0
  1340: >>> E[0:00:02]-R[0:00:01]: Return=     33.34, Steps=106.282, Features = 0
  1360: >>> E[0:00:02]-R[0:00:01]: Return=     33.39, Steps=105.178, Features = 0
  1380: >>> E[0:00:02]-R[0:00:01]: Return=     32.63, Steps=106.621, Features = 0
  1400: >>> E[0:00:02]-R[0:00:01]: Return=     31.96, Steps=104.956, Features = 0
  1420: >>> E[0:00:02]-R[0:00:01]: Return=     33.18, Steps=104.922, Features = 0
  1440: >>> E[0:00:02]-R[0:00:01]: Return=     29.95, Steps=107.428, Features = 0
  1460: >>> E[0:00:02]-R[0:00:01]: Return=     32.24, Steps=106.721, Features = 0
  1480: >>> E[0:00:02]-R[0:00:01]: Return=     29.24, Steps=108.205, Features = 0
  1500: >>> E[0:00:02]-R[0:00:01]: Return=     31.79, Steps=106.697, Features = 0
  1520: >>> E[0:00:02]-R[0:00:01]: Return=     31.54, Steps=106.889, Features = 0
  1540: >>> E[0:00:02]-R[0:00:01]: Return=     33.02, Steps=105.274, Features = 0
  1560: >>> E[0:00:02]-R[0:00:01]: Return=      30.9, Steps=106.719, Features = 0
  1580: >>> E[0:00:02]-R[0:00:01]: Return=     33.23, Steps=106.163, Features = 0
  1600: >>> E[0:00:02]-R[0:00:01]: Return=     32.05, Steps=105.581, Features = 0
  1620: >>> E[0:00:02]-R[0:00:00]: Return=        30, Steps=106.447, Features = 0
  1640: >>> E[0:00:02]-R[0:00:00]: Return=     31.02, Steps=107.104, Features = 0
  1660: >>> E[0:00:02]-R[0:00:00]: Return=     31.87, Steps=107.81, Features = 0
  1680: >>> E[0:00:02]-R[0:00:00]: Return=     31.17, Steps=106.731, Features = 0
  1700: >>> E[0:00:02]-R[0:00:00]: Return=     33.53, Steps=105.233, Features = 0
  1720: >>> E[0:00:02]-R[0:00:00]: Return=     32.22, Steps=106.206, Features = 0
  1740: >>> E[0:00:02]-R[0:00:00]: Return=      30.6, Steps=106.913, Features = 0
  1760: >>> E[0:00:02]-R[0:00:00]: Return=     32.07, Steps=104.692, Features = 0
  1780: >>> E[0:00:02]-R[0:00:00]: Return=     33.63, Steps=105.523, Features = 0
  1800: >>> E[0:00:02]-R[0:00:00]: Return=     28.83, Steps=107.962, Features = 0
  1820: >>> E[0:00:02]-R[0:00:00]: Return=     30.59, Steps=105.264, Features = 0
  1840: >>> E[0:00:02]-R[0:00:00]: Return=     32.08, Steps=106.331, Features = 0
  1860: >>> E[0:00:02]-R[0:00:00]: Return=     31.79, Steps=106.387, Features = 0
  1880: >>> E[0:00:02]-R[0:00:00]: Return=     31.56, Steps=107.447, Features = 0
  1900: >>> E[0:00:02]-R[0:00:00]: Return=     30.16, Steps=108.657, Features = 0
  1920: >>> E[0:00:02]-R[0:00:00]: Return=      32.7, Steps=106.228, Features = 0
  1940: >>> E[0:00:02]-R[0:00:00]: Return=     30.67, Steps=106.2, Features = 0
  1960: >>> E[0:00:03]-R[0:00:00]: Return=     31.74, Steps=105.151, Features = 0
  1980: >>> E[0:00:03]-R[0:00:00]: Return=      30.7, Steps=106.755, Features = 0
  2000: >>> E[0:00:03]-R[0:00:00]: Return=     32.11, Steps=105.399, Features = 0
